time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-30T23:56:29.977Z,-5.7603,148.9729,127.013,4.6,mb,"80 km NW of Kandrian, Papua New Guinea"
2024-12-30T23:40:33.868Z,-17.6089,-178.3937,573.817,4.6,mb,"247 km ENE of Levuka, Fiji"
2024-12-30T23:30:59.974Z,9.1189,39.9276,10,4.7,mb,"24 km N of Metahāra, Ethiopia"
2024-12-30T23:16:09.495Z,-19.2777,-175.9927,10,4.6,mb,"181 km WNW of Pangai, Tonga"
2024-12-30T22:13:14.697Z,9.1373,40.0367,10,4.8,mb,"22 km NW of Āwash, Ethiopia"
2024-12-30T20:33:11.322Z,9.2103,40.0504,10,4.6,mb,"28 km NNW of Āwash, Ethiopia"
2024-12-30T20:27:35.490Z,9.1221,40.098,10,4.7,mb,"17 km NNW of Āwash, Ethiopia"
2024-12-30T18:50:47.010Z,-15.8716,-173.154,10,4.5,mb,"69 km E of Hihifo, Tonga"
2024-12-30T15:27:54.586Z,12.2325,141.5112,68.889,4.8,mb,"293 km NNE of Fais, Micronesia"
2024-12-30T15:25:58.372Z,-24.166,-69.565,92.136,4.5,mb,"101 km SE of Antofagasta, Chile"
2024-12-30T14:26:55.004Z,8.9504,40.03,10,4.5,mb,"13 km ENE of Metahāra, Ethiopia"
2024-12-30T14:12:33.835Z,-17.7022,-178.1873,557.681,4.6,mb,"267 km E of Levuka, Fiji"
2024-12-30T12:20:02.995Z,8.7144,40.1371,10,4.5,mb,"29 km S of Āwash, Ethiopia"
2024-12-30T10:42:28.345Z,-20.0498,-173.181,10,4.5,mb,"123 km ESE of Fangale’ounga, Tonga"
2024-12-30T10:39:05.746Z,-26.8515,179.2828,507.609,4.9,mb,south of the Fiji Islands
2024-12-30T09:58:46.244Z,-29.3545,-71.2354,48.507,4.6,mwr,"60 km N of La Serena, Chile"
2024-12-30T08:38:26.690Z,-1.1076,67.4517,10,4.8,mb,Carlsberg Ridge
2024-12-30T08:12:33.557Z,-21.9234,-173.8165,10,4.8,mb,"134 km ESE of ‘Ohonua, Tonga"
2024-12-30T07:42:21.022Z,8.8054,40.1385,10,4.5,mb,"19 km S of Āwash, Ethiopia"
2024-12-30T06:51:30.845Z,9.0206,40.0634,10,4.6,mb,"12 km WNW of Āwash, Ethiopia"
2024-12-30T05:49:02.808Z,-17.6555,168.2183,66.612,5.1,mww,"13 km NW of Port-Vila, Vanuatu"
2024-12-30T05:48:12.371Z,9.0039,40.0649,10,4.5,mb,"11 km WNW of Āwash, Ethiopia"
2024-12-30T05:41:06.678Z,-29.9272,-71.9959,10,5.5,mww,"63 km W of Coquimbo, Chile"
2024-12-30T05:40:49.297Z,-29.9251,-72.0531,10,5.5,mb,"68 km W of Coquimbo, Chile"
2024-12-30T05:11:38.419Z,27.9479,127.8182,10,4.5,mb,"100 km NW of China, Japan"
2024-12-30T02:56:16.807Z,18.4391,120.9038,34,5.5,mww,"18 km SE of Bangui, Philippines"
2024-12-30T01:55:42.509Z,-32.9697,-178.6759,10,4.5,mb,south of the Kermadec Islands
2024-12-30T00:28:54.834Z,8.9976,40.1262,10,4.5,mb,"4 km WNW of Āwash, Ethiopia"
2024-12-29T23:52:35.919Z,16.1636,-98.7427,10,4.5,mb,"36 km SW of Montecillos, Mexico"
2024-12-29T22:28:00.958Z,16.0892,-98.8353,10,4.9,mb,"47 km SSW of Barra de Tecoanapa, Mexico"
2024-12-29T22:20:41.330Z,9.2754,40.0491,10,5.1,mww,"34 km NNW of Āwash, Ethiopia"
2024-12-29T20:34:33.928Z,15.9549,-98.8298,10,4.8,mb,"59 km SW of Santiago Tepextla, Mexico"
2024-12-29T19:51:36.526Z,23.5251,120.6776,24.705,4.6,mww,"24 km E of Pizitou, Taiwan"
2024-12-29T17:10:44.328Z,9.0898,40.1109,10,4.9,mb,"13 km NNW of Āwash, Ethiopia"
2024-12-29T08:02:09.337Z,35.1088,26.3233,44.455,4.5,mb,"11 km SSE of Palekastro, Greece"
2024-12-29T05:12:43.406Z,22.7627,142.4373,9.795,4.5,mb,"Volcano Islands, Japan region"
2024-12-29T03:57:23.971Z,9.2031,40.0245,10,4.8,mb,"28 km NNW of Āwash, Ethiopia"
2024-12-28T22:25:21.496Z,33.9214,-38.917,10,4.5,mb,northern Mid-Atlantic Ridge
2024-12-28T21:55:08.881Z,0.2717,122.0891,141.554,4.6,mb,"112 km WSW of Gorontalo, Indonesia"
2024-12-28T19:57:19.641Z,-20.4512,-177.8522,542.804,5.5,mww,"277 km WNW of Houma, Tonga"
2024-12-28T16:05:08.663Z,-19.2463,-173.8921,56.095,4.5,mb,"66 km S of Neiafu, Tonga"
2024-12-28T13:57:53.137Z,-4.8188,153.318,45.613,4.5,mb,"127 km ESE of Kokopo, Papua New Guinea"
2024-12-28T13:38:17.164Z,22.8228,142.3357,10,4.5,mb,"Volcano Islands, Japan region"
2024-12-28T08:34:06.076Z,-52.1258,-4.8494,10,5.6,mww,southern Mid-Atlantic Ridge
2024-12-28T05:46:42.954Z,-5.1526,102.4081,34.713,4.5,mb,"150 km S of Bengkulu, Indonesia"
2024-12-28T05:12:12.845Z,9.3374,39.9953,10,4.5,mb,"43 km NNW of Āwash, Ethiopia"
2024-12-28T05:10:49.470Z,-13.8567,-14.5886,10,4.8,mb,southern Mid-Atlantic Ridge
2024-12-28T05:09:40.073Z,-13.7767,-14.3932,10,5,mb,southern Mid-Atlantic Ridge
2024-12-28T02:22:52.446Z,-26.3256,71.7568,10,4.5,mb,Mid-Indian Ridge
2024-12-28T02:16:12.136Z,-50.2301,112.1808,10,4.5,mb,southeast Indian Ridge
2024-12-28T02:10:34.211Z,30.414,142.0074,10,4.6,mb,"Izu Islands, Japan region"
2024-12-28T01:54:09.487Z,-13.7701,-14.5853,10,4.6,mb,southern Mid-Atlantic Ridge
2024-12-28T01:53:28.997Z,-13.8578,-14.6377,10,4.7,mb,southern Mid-Atlantic Ridge
2024-12-28T01:52:16.583Z,-13.8824,-14.4898,10,5,mb,southern Mid-Atlantic Ridge
2024-12-28T00:41:56.900Z,-26.8937,-177.1608,100.262,4.6,mb,south of the Fiji Islands
2024-12-27T23:45:05.354Z,-17.9007,167.6493,10,4.6,mb,"72 km WSW of Port-Vila, Vanuatu"
2024-12-27T22:39:56.605Z,3.2544,123.1875,480.874,4.7,mb,"269 km NW of Manado, Indonesia"
2024-12-27T22:39:26.804Z,31.1844,66.6548,10,4.7,mb,"35 km NNE of Chaman, Pakistan"
2024-12-27T19:10:05.808Z,37.3695,141.5863,45.48,5.3,mww,"50 km E of Tomioka, Japan"
2024-12-27T18:42:59.930Z,9.6146,126.2289,63,5.4,mww,"20 km SE of Union, Philippines"
2024-12-27T18:15:39.494Z,-22.2185,-68.6582,115.707,4.7,mwr,"37 km NE of Calama, Chile"
2024-12-27T17:30:08.760Z,2.0409,126.445,57.539,4.5,mb,"160 km ENE of Bitung, Indonesia"
2024-12-27T17:20:56.436Z,-17.8905,167.8241,10,4.9,mb,"54 km WSW of Port-Vila, Vanuatu"
2024-12-27T16:55:53.556Z,35.3612,140.5831,46.338,4.6,mb,"18 km E of Ichinomiya, Japan"
2024-12-27T16:50:15.146Z,-18.1709,167.6948,10,4.9,mb,"81 km SW of Port-Vila, Vanuatu"
2024-12-27T16:49:50.961Z,-17.8468,167.7484,10,4.8,mb,"61 km WSW of Port-Vila, Vanuatu"
2024-12-27T16:28:23.293Z,13.4442,-89.9533,73.534,4.7,mwr,"21 km SW of Acajutla, El Salvador"
2024-12-27T15:58:20.535Z,13.3027,57.5901,10,4.7,mb,Owen Fracture Zone region
2024-12-27T15:46:41.235Z,42.9153,146.9645,10,4.6,mb,"100 km SSE of Shikotan, Russia"
2024-12-27T15:26:27.150Z,9.1922,39.937,10,4.7,mb,"32 km N of Metahāra, Ethiopia"
2024-12-27T15:06:08.076Z,-26.5829,71.6989,10,4.6,mb,Mid-Indian Ridge
2024-12-27T13:29:58.873Z,1.2293,126.1709,48.391,4.8,mb,"118 km ESE of Bitung, Indonesia"
2024-12-27T12:47:37.696Z,47.2996,151.236,146,6.8,mww,Kuril Islands
2024-12-27T11:51:14.584Z,-26.3909,71.8076,10,4.7,mb,Mid-Indian Ridge
